STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
GUJARAT,AHMEDABAD RURAL,2005,28,7,2,7,0,7,29,26,3,9,1,29,94,242,59,183,48,38,9,8,5,310,0,15,0,72,0,279,1693,2925
GUJARAT,AHWA-DANG,2005,5,1,0,5,0,5,0,0,0,0,0,1,2,3,1,2,3,4,2,1,0,30,0,5,0,5,0,17,62,146
GUJARAT,AMRELI,2005,24,14,1,11,0,11,49,47,2,3,0,18,127,186,49,137,28,31,10,16,15,286,2,18,1,127,0,97,2514,3578
GUJARAT,ANAND,2005,20,7,1,7,0,7,24,20,4,8,0,17,119,320,146,174,20,68,19,8,9,333,1,28,2,97,0,182,1787,3077
GUJARAT,BHARUCH,2005,35,10,1,8,0,8,23,15,8,8,0,14,139,323,123,200,29,56,9,10,12,335,0,16,5,46,0,211,1398,2688
GUJARAT,BHAVNAGAR,2005,66,31,0,14,0,14,85,70,15,30,0,164,398,1116,345,771,190,91,155,46,41,93,3,79,33,216,0,3,4732,7586
GUJARAT,DAHOD,2005,48,13,1,9,0,9,29,26,3,20,2,26,77,128,72,56,54,10,3,4,14,279,0,28,0,28,0,0,750,1523
GUJARAT,GANDHINAGAR,2005,20,6,0,9,0,9,29,20,9,5,0,23,124,395,152,243,19,12,37,9,16,237,4,8,4,101,0,151,1437,2646
GUJARAT,HIMATNAGAR,2005,26,12,2,12,0,12,32,31,1,15,0,20,145,222,70,152,60,47,25,28,16,349,0,42,0,147,0,237,2943,4380
GUJARAT,JAMNAGAR,2005,41,19,1,14,0,14,20,15,5,1,0,14,152,402,140,262,45,48,26,16,11,366,0,15,3,188,0,4,2496,3882
GUJARAT,JUNAGADH,2005,33,27,0,13,0,13,38,32,6,6,0,43,225,469,182,287,67,68,37,35,17,487,5,54,9,421,0,210,3522,5786
GUJARAT,KHEDA NORTH,2005,30,8,1,14,0,14,30,29,1,7,0,18,114,336,96,240,42,33,19,15,8,316,0,39,0,155,0,216,2596,3997
GUJARAT,KUTCH,2005,35,23,0,9,0,9,45,36,9,9,0,33,233,411,176,235,61,34,72,15,9,424,4,42,2,234,0,260,2466,4421
GUJARAT,MEHSANA,2005,30,21,1,6,0,6,55,47,8,19,1,55,258,599,104,495,71,48,70,14,10,488,1,25,0,221,0,151,2648,4792
GUJARAT,NARMADA,2005,15,2,0,6,0,6,1,1,0,4,0,2,26,30,4,26,19,5,1,0,3,92,0,2,0,4,0,36,801,1049
